,0,1
225,2.95,1589671254.238406
226,1.49,1589671268.294156
227,1.78,1589671289.375817
228,1.73,1589671310.438932
229,1.52,1589671324.494923
230,27.35,1589671394.726177
231,12.24,1589671443.881213
232,1.37,1589671457.9372668
233,1.56,1589671479.0071418
234,10.72,1589671528.1930509
235,1.97,1589671549.268078
236,1.88,1589671570.373249
237,1.05,1589671584.425997
238,16.64,1589671640.608347
239,2.94,1589671668.688431
240,1.25,1589671682.7301261
241,1.22,1589671696.780015
242,5.72,1589671731.9554508
243,1.26,1589671746.0309892
244,2.12,1589671774.132611
245,1.29,1589671788.176605
246,8.88,1589671830.315895
247,5.43,1589671872.460602
248,1.74,1589671893.524207
249,1.0,1589671900.546116
250,1.21,1589671914.583423
251,1.19,1589671928.688255
252,1.28,1589671942.730839
253,16.16,1589671998.891605
254,5.21,1589672033.9999108
255,4.79,1589672076.13639
256,4.97,1589672111.270868
257,23.37,1589672174.486856
258,6.66,1589672216.615751
259,5.85,1589672251.7502148
260,7.38,1589672300.893872
261,4.2,1589672328.981626
262,1.59,1589672350.062067
263,1.0,1589672357.0837
264,1.67,1589672378.14488
265,6.34,1589672420.2924008
266,1.52,1589672434.3399758
267,1.45,1589672455.419182
268,2.3,1589672476.4937248
269,2.45,1589672504.6064022
270,1.44,1589672518.655149
271,1.48,1589672539.727318
272,1.12,1589672546.755324
273,6.44,1589672588.901334
274,1.75,1589672609.979624
275,2.02,1589672631.0536408
276,1.31,1589672645.100319
277,8.09,1589672694.274612
278,4.23,1589672729.40817
279,2.72,1589672750.4948108
280,1.9,1589672771.579663
281,1.45,1589672792.660702
282,5.7,1589672827.7904
283,1.12,1589672841.8514152
284,1.13,1589672855.904426
285,4.21,1589672891.0417101
286,17.89,1589672947.271494
287,1.26,1589672961.3303528
288,1.6,1589672982.419302
289,1.47,1589672996.467623
290,1.08,1589673010.529206
291,5.02,1589673045.65797
292,2.35,1589673066.7456489
293,1.12,1589673080.799318
294,2.28,1589673108.907653
295,1.36,1589673122.966115
296,36.2,1589673193.239103
297,1.1,1589673200.2685068
298,3.16,1589673235.4044712
299,1.21,1589673249.452796
300,5.43,1589673284.579247
301,7.98,1589673326.7462862
302,1.57,1589673347.8163571
303,3.76,1589673382.956448
304,1.04,1589673389.984968
305,2.4,1589673418.080915
306,1.42,1589673432.1404102
307,1.89,1589673453.219084
308,3.27,1589673481.3269491
309,1.76,1589673502.4029498
310,1.85,1589673523.490465
311,2.97,1589673551.606373
312,4.15,1589673586.777528
313,8.07,1589673628.955758
314,1.03,1589673643.008457
315,1.06,1589673650.0402718
316,1.05,1589673664.090827
317,2.0,1589673685.17077
318,3.15,1589673713.30549
319,2.44,1589673741.415018
320,4.68,1589673776.557666
321,1.69,1589673797.624068
322,38.57,1589673867.898132
323,1.61,1589673881.951091
324,1.18,1589673896.004171
325,1.13,1589673910.058219
326,1.56,1589673931.149964
327,21.96,1589673987.3769112
328,1.07,1589674001.427226
329,3.68,1589674029.532347
330,1.71,1589674050.6037161
331,2.94,1589674078.71411
332,1.29,1589674092.7668748
333,10.24,1589674141.955578
334,3.58,1589674177.082496
335,1.94,1589674198.165419
336,6.41,1589674240.318208
337,1.75,1589674261.386197
338,3.59,1589674289.500848
339,1.07,1589674303.549129
340,5.26,1589674338.6903858
341,1.77,1589674359.779407
342,2.67,1589674387.880818
343,19.06,1589674444.107069
344,1.04,1589674458.159662
345,1.59,1589674472.215043
346,3.63,1589674507.349634
347,661.11,1589674626.828347
348,1.29,1589674640.880499
349,6.03,1589674676.010711
350,1.73,1589674697.091954
351,7.64,1589674739.248599
352,1.39,1589674760.325835
353,1.33,1589674774.3806038
354,1.52,1589674788.433474
355,3.23,1589674823.559437
356,3.12,1589674851.67364
357,2.92,1589674879.7841222
358,2.95,1589674907.896141
359,3.86,1589674935.994734
360,1.19,1589674950.053835
361,2.66,1589674978.162293
362,32.96,1589675048.4408178
363,4.81,1589675083.5739598
364,2.66,1589675111.689386
365,3.98,1589675139.946532
366,2.28,1589675168.0547159
367,1.44,1589675182.1044438
368,1.47,1589675203.183359
369,2.33,1589675224.267614
370,1.97,1589675245.3606532
371,1.02,1589675259.408043
372,3.5,1589675287.509502
373,11.43,1589675336.7000809
374,3.54,1589675371.809304
375,2.53,1589675392.8760629
376,1.25,1589675406.945492
377,1.69,1589675428.0173728
378,1.1,1589675442.0915442
379,2.56,1589675470.174984
380,1.1,1589675477.197099
381,2.06,1589675498.278811
382,2.36,1589675526.364091
383,3.6,1589675554.46776
384,1.57,1589675575.5276859
385,1.04,1589675589.577014
386,19.34,1589675645.743526
387,1.14,1589675659.7991629
388,2.38,1589675680.863183
389,2.72,1589675708.9614122
390,2.9,1589675737.051897
391,5.68,1589675779.1834922
392,10.95,1589675828.3952022
393,1.12,1589675842.44686
394,1.23,1589675856.502082
395,6.25,1589675891.622689
396,1.61,1589675912.692111
397,1.08,1589675926.743365
398,2.93,1589675954.8410208
399,1.0,1589675961.863745
400,4.48,1589675996.984427
401,1.62,1589676018.055994
402,30.49,1589676081.278455
403,2.23,1589676109.379776
404,17.08,1589676165.5763662
405,1.13,1589676179.625782
406,1.0,1589676186.652163
407,1.07,1589676200.701119
408,1.02,1589676207.7246249
409,1.7,1589676228.7998788
410,1.08,1589676242.862318
411,4.73,1589676277.990608
412,1.04,1589676285.016114
413,2.46,1589676313.126859
414,1.6,1589676334.2035651
415,1.83,1589676355.28651
416,1.42,1589676369.34385
417,1.12,1589676383.398783
418,2.47,1589676404.471255
419,1.05,1589676418.5294778
420,2.83,1589676446.626412
421,5.47,1589676481.7581959
422,1.31,1589676495.8169448
423,3.26,1589676523.923892
424,130.92,1589676622.3030531
425,5.59,1589676657.4498508
426,1.11,1589676671.498373
427,1.95,1589676692.56878
428,1.95,1589676706.646357
429,1.95,1589676713.673802
430,1.95,1589676720.7055008
431,1.95,1589676727.731403
432,3.01,1589676741.7653959
433,1.2,1589676755.834086
434,1.22,1589676769.894995
435,2.57,1589676798.0063639
436,2.24,1589676819.092672
437,2.07,1589676840.169512
438,1.42,1589676861.24785
439,1.0,1589676868.275294
440,1.99,1589676889.357646
441,1.19,1589676903.405426
442,11.08,1589676952.6008189
443,1.12,1589676966.655152
444,1.0,1589676973.687084
445,1.17,1589676987.7329159
446,1.1,1589677001.7867038
447,1.02,1589677008.816235
448,1.14,1589677022.8682828
449,2.56,1589677050.976513
450,1.73,1589677072.067898
451,1.29,1589677086.124318
452,1.22,1589677100.177073
453,1.56,1589677114.2303638
454,3.62,1589677149.3510442
455,1.18,1589677163.415186
456,2.13,1589677184.5031328
457,1.01,1589677191.526795
458,1.04,1589677205.586709
459,15.15,1589677261.784491
460,1.0,1589677268.8085902
461,9.58,1589677317.991853
462,1.94,1589677339.071297
463,1.11,1589677353.1194072
464,1.03,1589677360.1469371
465,1.37,1589677381.2240372
466,1.25,1589677395.273071
467,1.56,1589677409.3266811
468,1.58,1589677430.414577
469,1.26,1589677444.4624581
470,1.0,1589677451.491888
471,2.97,1589677479.599637
472,2.61,1589677507.711284
473,1.57,1589677521.764906
474,1.77,1589677542.8522902
475,2.84,1589677570.9586759
476,1.65,1589677592.044754
477,1.52,1589677606.1039329
478,9.4,1589677655.299385
479,27.7,1589677718.539127
480,2.81,1589677746.64574
481,1.78,1589677767.71864
482,1.89,1589677788.801671
483,1.35,1589677802.86223
484,2.16,1589677830.965683
485,35.72,1589677901.243459
486,1.17,1589677908.2681081
487,2.28,1589677936.381768
488,3.27,1589677964.489354
489,1.28,1589677978.545581
490,30.87,1589678048.8127308
491,1.0,1589678055.837539
492,4.24,1589678090.973601
493,1.51,1589678112.092596
494,7.58,1589678154.2542028
495,12.02,1589678203.439523
496,1.18,1589678217.497738
497,1.33,1589678231.551221
498,7.55,1589678273.731331
499,1.11,1589678287.782945
500,1.25,1589678301.834191
501,1.24,1589678315.8832572
502,1.31,1589678329.935901
503,1.1,1589678343.990179
504,1.06,1589678358.0442638
505,35.54,1589678421.313029
506,1.18,1589678435.366854
507,1.63,1589678456.4438982
508,1.12,1589678470.495317
509,43.19,1589678540.754088
510,1.26,1589678554.807189
511,17.16,1589678611.030625
512,5.67,1589678653.188734
513,2.87,1589678681.309273
514,1.0,1589678688.3347578
515,1.6,1589678709.411529
516,1.14,1589678723.4671402
517,3.0,1589678751.5716622
518,2.19,1589678772.6494641
519,1.36,1589678786.697263
520,4.9,1589678821.835856
521,1.03,1589678835.8901062
522,1.51,1589678849.946338
